categories,description,title,item_details
"[Homepage, Jewelry, Earrings, Chandelier Earrings]","Custom earrings
Green center stone
Mix of green and iridescent crystals",Reserved listing- Custom order,"[Made to Order, Gift wrapping available 
 
 
 See details 
 
 
 
 
 Gift wrapping by DesertRoseDesigns10 
 We will wrap your gift in seasonal wrapping paper with a fun ornament!
Birthday wrapping also available! Just leave us a note on comments :)]"
"[Homepage, Jewelry, Bracelets, Bangles]","Beautiful wide bracelet with pink crystals, great statement piece! Pageant, prom, or bridal!
Size: 1” wide / lengthy approximately 7 inches (bracelet can be adjusted to wrist size, just please send us a message!) 
Style: stretch bracelet
colors available: pink/rose crystal rhinestones
Looking for matching earrings and necklace? Browse through our listings or send us a message! :)
https://etsy.me/2qOiOcz
https://etsy.me/3w5wLCM
https://etsy.me/3J5p42W
Looking for the perfect pair of earrings for a special occasion. We specialize in custom work in fashion jewelry, pearls, and natural stones! Please feel free to browse through our other listings, and if you can’t find what you are looking for just send us a message and will create the perfect piece for you.
jewelry.desertrosedesings.net
Expedited shipping available, just contact us!","Pink rose gold bracelet, wide pink rhinestone bracelet, pink evening bracelet","[Gift wrapping available 
 
 
 See details 
 
 
 
 
 Gift wrapping by DesertRoseDesigns10 
 We will wrap your gift in seasonal wrapping paper with a fun ornament!
Birthday wrapping also available! Just leave us a note on comments :)]"
"[Homepage, Jewelry, Earrings, Hoop Earrings]","Fuchsia hoop earrings, fun and stylish rhinestone hot pink earrings are a great accent piece! Pageant, prom, or fitness competition! 
Size of earrings: 3.5 inches long/ 2.5 inches wide
colors available: Hot Pink/fuchsia
looking for a bracelet to complete your look? check out this matching bracelet! :)
https://etsy.me/2KS0lkn
https://www.etsy.com/listing/586067187/pink-bracelet-hot-pink-rhinestone?ref=shop_home_active_1
https://etsy.me/2UTFrJ4
https://www.etsy.com/listing/538148439/hot-pink-crystal-bracelet-large-crystal?ref=shop_home_active_71
Looking for the perfect pair of earrings for a special occasion. We specialize in custom work in fashion jewelry, pearls, and natural stones! Please feel free to browse through our other listings, and if you can’t find what you are looking for just send us a message and will create the perfect piece for you.
jewelry.desertrosedesings.net
Expedited shipping available, just contact us!","Fuchsia hoops, large fuchsia rhinestone hoops, large hot pink hoop earrings, long fuchsia prom hoops, fuchsia pageant hoops","[Location: Earlobe, Gift wrapping available 
 
 
 See details 
 
 
 
 
 Gift wrapping by DesertRoseDesigns10 
 We will wrap your gift in seasonal wrapping paper with a fun ornament!
Birthday wrapping also available! Just leave us a note on comments :)]"
"[Homepage, Jewelry, Earrings, Dangle & Drop Earrings]","These fun and stylish large crystal rhinestone earrings are a great statement piece! Pageant, prom, or homecoming ! 
Size of earrings: 1.25"" Wide  and 2.75"" Long. 
Colors Available: hot pink, aqua blue, clear, AB, and red
More colors available upon request, just message us!
Looking for the perfect pair of earrings for a special occasion. We specialize in custom work in fashion jewelry, pearls, and natural stones! Please feel free to browse through our other listings, and if you can't find what you are looking for just send us a message and will create the perfect piece for you.
www.desertrosedesigns.net
Expedited shipping available, just contact us!","Pink large rhinestones earrings, hot pink chunky earrings, fuschia prom earrings, pageant earrings, aqua earrings, AB earrings, red earrings","[Made by   DesertRoseDesigns10, Length: 2.75 Inches, Gift wrapping available 
 
 
 See details 
 
 
 
 
 Gift wrapping by DesertRoseDesigns10 
 We will wrap your gift in seasonal wrapping paper with a fun ornament!
Birthday wrapping also available! Just leave us a note on comments :)]"
"[Homepage, Jewelry, Earrings]","These fun and stylish aurora borealis rhinestone earrings are a great accent piece! Pageant, prom, or bridal!
Size of earrings: .80"" Wide and 1.25"" Long.
colors available: AB / with silver base metal color
more colors available! please feel free to browse through our listings or message us!
looking for a bracelet to complete your look? check out this matching bracelet!
https://etsy.me/3MlKBGN
https://etsy.me/3laXeZO
https://www.etsy.com/listing/614635317/ab-bracelet-aurora-borealis-bracelet-ab?ref=shop_home_active_1
https://www.etsy.com/listing/549273546/ab-crystal-rhinestone-bracelet-ab?ref=shop_home_active_13
https://www.etsy.com/listing/538148439/hot-pink-crystal-bracelet-large-crystal?ref=shop_home_active_71
Looking for the perfect pair of earrings for a special occasion. We specialize in custom work in fashion jewelry, pearls, and natural stones! Please feel free to browse through our other listings, and if you can't find what you are looking for just send us a message and will create the perfect piece for you.
jewelry.desertrosedesings.net
Expedited shipping available, just contact us!","ab earrings, iridescent rhinestone earrings, iridescent wedding earrings, ab bridal earrings","[Made by   DesertRoseDesigns10, Gift wrapping available 
 
 
 See details 
 
 
 
 
 Gift wrapping by DesertRoseDesigns10 
 We will wrap your gift in seasonal wrapping paper with a fun ornament!
Birthday wrapping also available! Just leave us a note on comments :)]"
"[Homepage, Jewelry, Earrings, Clip-On Earrings]","These fun and stylish rhinestone fuchsia disco ball earrings with sparkly crystals are a great statement piece! Pageant, prom, or competition ! 
Size of earrings: 1.7” Long. 
colors available: Neon pink
Style: pierced and Clip on available! Just select under style tab. 
looking for a bracelet to complete your look? check out this matching bracelet! :)
https://www.etsy.com/listing/587303889/fuchsia-bracelet-fuchsia-rhinestone?ref=shop_home_active_7
https://www.etsy.com/listing/606822019/fuscia-bracelet-hot-pink-prom-bracelet?ref=shop_home_active_66
https://www.etsy.com/listing/621709861/fuchsia-bracelet-large-hot-pink-bracelet?ref=shop_home_active_89
https://www.etsy.com/listing/607744629/fuchsia-bracelet-hot-pink-bracelet?ref=shop_home_active_15
Looking for the perfect pair of earrings for a special occasion. We specialize in custom work in fashion jewelry, pearls, and natural stones! Please feel free to browse through our other listings, and if you can’t find what you are looking for just send us a message and will create the perfect piece for you.
www.desertrosedesings.net
Expedited shipping available, just contact us!","Fuchsia neon earrings, neon pink oversized stud earrings, fuchsia glitter large clip on earrings, fuchsia disco ball earrings","[Made by   DesertRoseDesigns10, Location: Earlobe, Closure: Clip-on, Style: Art deco, Length: 1.7 Inches, Gift wrapping available 
 
 
 See details 
 
 
 
 
 Gift wrapping by DesertRoseDesigns10 
 We will wrap your gift in seasonal wrapping paper with a fun ornament!
Birthday wrapping also available! Just leave us a note on comments :)]"
"[Homepage, Jewelry, Bracelets, Beaded Bracelets]","Ab stretch bracelet
Beautiful Aurora borealis bracelet with iridescent rhinestone crystals, great statement piece! Pageant, prom, or bridal!
Size: .75” wide 
Length: approx. 7” length can be adjusted upon request. Please send us a message! :)
Style: stretch bracelet
color: AB crystal rhinestones
Base metal color: silver 
more colors available upon request!
Looking for matching earrings? Browse through our listings or send us a message! :) 
https://www.etsy.com/listing/507895524/ab-large-crystal-earrings-ab-pageant?ref=shop_home_active_22
https://www.etsy.com/listing/508360948/long-rhinestoneab-earrings-long-teal?ref=shop_home_active_61
Looking for the perfect pair of earrings for a special occasion. We specialize in custom work in fashion jewelry, pearls, and natural stones! Please feel free to browse through our other listings, and if you can’t find what you are looking for just send us a message and will create the perfect piece for you.
jewelry.desertrosedesings.net
Expedited shipping available, just contact us!",Ab rhinestone bracelet,"[Made by   DesertRoseDesigns10, Gift wrapping available 
 
 
 See details 
 
 
 
 
 Gift wrapping by DesertRoseDesigns10 
 We will wrap your gift in seasonal wrapping paper with a fun ornament!
Birthday wrapping also available! Just leave us a note on comments :)]"
"[Homepage, Home & Living, Home Decor, Home Accents]","Decorative Carved ironwood box with sea turtle carving on lid.
For more jewelry and keepsake boxes please as well as great ironwood carvings please visit TheIronwoodStore:
https://www.etsy.com/shop/TheIronwoodStore?ref=search_shop_redirect
Beautifully hand crafted ironwood keepsake box! This wood box is made with local desert ironwood that has a rich dark tone and beautiful grain. 
It is handcrafted with a detailed turtle on the top lid. We can customize your box with any other animal or design. Featured on the photos above are also our Bear head, howling Wolf, and rose. 
Just select your favorite from the drop down option menu!
Don't see the animal you are looking for? No problem! Just send us a message and we might have it in stock! If we don't we will custom make it for you, and production takes between 5-7 days. 
Dimensions are 4 inches long by 2 1/2 inches wide 
This ironwood box makes a great gift for anyone! Ironwood is heavy and sturdy and will last you a lifetime. 
Shipping- All items are sent via USPS standard flat rate shipping and is scheduled to arrive in 3-5 business days. 
Hope you enjoy browsing through or shop! If you have any questions please don't hesitate to ask, we are happy to hear from you and answer all your questions and concerns!
Best Regards always,
Desert Rose","Carved ironwood small box, keepsake wood box, ironwood jewelry box, mother's day gift, rose box","[Made by   DesertRoseDesigns10, Gift wrapping available 
 
 
 See details 
 
 
 
 
 Gift wrapping by DesertRoseDesigns10 
 We will wrap your gift in seasonal wrapping paper with a fun ornament!
Birthday wrapping also available! Just leave us a note on comments :)]"
"[Homepage, Jewelry, Bracelets, Beaded Bracelets]",Stretch bracelet,Crystal clear bracelet,"[Gift wrapping available 
 
 
 See details 
 
 
 
 
 Gift wrapping by DesertRoseDesigns10 
 We will wrap your gift in seasonal wrapping paper with a fun ornament!
Birthday wrapping also available! Just leave us a note on comments :)]"
"[Homepage, Jewelry, Rings, Statement Rings]","Extra large fun and stylish gold crystal rhinestone ring with clear rhinestone crystals. Oversized rhinestone ring, is a great statement piece! Pageant, prom, or bridal! 
Size of Ring: 1 inch in diameter
Color: Gold rhinestones
One Size: stretch band
More colors available upon request!
Complete your look with matching earrings!
https://www.etsy.com/listing/698849036/gold-clip-on-earrings-gold-rhinestone?ref=shop_home_active_1
Looking for matching earrings?
https://www.etsy.com/listing/606778053/gold-earrings-gold-rhinestone-earrings?ref=shop_home_active_11
https://www.etsy.com/listing/663227087/gold-earrings-gold-rhinestone-earrings?ref=shop_home_active_19
Looking for the perfect pair of earrings for a special occasion. We specialize in custom work in fashion jewelry, pearls, and natural stones! Please feel free to browse through our other listings, and if you can’t find what you are looking for just send us a message and will create the perfect piece for you.
jewelry.desertrosedesigns.net
Expedited shipping available, just contact us!","Gold crystal statement ring, champagne large crystal ring, gold rhinestone large stone stretch ring","[Gift wrapping available 
 
 
 See details 
 
 
 
 
 Gift wrapping by DesertRoseDesigns10 
 We will wrap your gift in seasonal wrapping paper with a fun ornament!
Birthday wrapping also available! Just leave us a note on comments :)]"
"[Homepage, Jewelry, Bracelets, Beaded Bracelets]","Orange crystal bracelet 
Size: .75” wide
Color: orange crystals
Stretch band
Looking for matching earrings?
https://www.etsy.com/listing/549677548/orange-rhinestone-earrings-long-orange?ref=shop_home_active_41
https://www.etsy.com/listing/702339457/orange-earrings-orange-prom-earrings?ref=shop_home_active_3&crt=1
Matching bracelet:
https://www.etsy.com/listing/708705661/orange-bracelet?ref=shop_home_active_4&sca=1
Looking for the perfect pair of earrings for a special occasion. We specialize in custom work in fashion jewelry, pearls, and natural stones! Please feel free to browse through our other listings, and if you can’t find what you are looking for just send us a message and will create the perfect piece for you.
jewelry.desertrosedesigns.net
Expedited shipping available, just contact us!","Orange rhinestone bracelet, orange prom bracelet, orange crystal stretch bracelet","[Gift wrapping available 
 
 
 See details 
 
 
 
 
 Gift wrapping by DesertRoseDesigns10 
 We will wrap your gift in seasonal wrapping paper with a fun ornament!
Birthday wrapping also available! Just leave us a note on comments :)]"
"[Homepage, Jewelry, Earrings, Dangle & Drop Earrings]","These fun and stylish yellow crystal rhinestone earrings are a A great statement piece! Pageant, prom, or bridal! 
Size of earrings: 2” Long. 
Color:  Citrine Yellow
Looking for a matching bracelet? Check out our listings or send us a message!
https://etsy.me/2PPJ1kJ
https://etsy.me/2LiQtmq
https://www.etsy.com/listing/600464738/yellow-bracelet-yellow-and-gold-bracelet?ref=shop_home_active_47
Looking for the perfect pair of earrings for a special occasion. We specialize in custom work in fashion jewelry, pearls, and natural stones! Please feel free to browse through our other listings, and if you can’t find what you are looking for just send us a message and will create the perfect piece for you.
jewelry.desertrosedesigns.net
Expedited shipping available, just contact us!","Yellow crystal earrings, yellow dangle earrings, yellow prom earrings","[Made by   DesertRoseDesigns10, Gift wrapping available 
 
 
 See details 
 
 
 
 
 Gift wrapping by DesertRoseDesigns10 
 We will wrap your gift in seasonal wrapping paper with a fun ornament!
Birthday wrapping also available! Just leave us a note on comments :)]"
"[Homepage, Jewelry, Earrings, Dangle & Drop Earrings]","These fun and stylish teal blue rhinestone earrings are a great accent piece! Pageant, prom, or bridal!
Size of earrings: 0.7” Wide and 2.5” Long.
colors available: teal/blue zircon
Base Metal color: Gold
Style: Pierced and clip on available! Just select preference under the “style” tab :)
more colors available! please feel free to browse through our listings or message us!
looking for a bracelet to complete your look? check out this matching bracelet!
https://www.etsy.com/listing/689897519/teal-blue-bracelet-teal-rhinestone?ga_search_query=teal&ref=shop_items_search_7
https://www.etsy.com/listing/743412215/teal-blue-bracelet-teal-rhinestone?ga_search_query=teal&ref=shop_items_search_14&frs=1
Looking for the perfect pair of earrings for a special occasion. We specialize in custom work in fashion jewelry, pearls, and natural stones! Please feel free to browse through our other listings, and if you can’t find what you are looking for just send us a message and will create the perfect piece for you.
jewelry.desertrosedesings.net
Expedited shipping available, just contact us!","Teal blue crystal earrings, blue zircon dangle earrings, teal rhinestone prom earrings","[Made by   DesertRoseDesigns10, Location: Earlobe, Drop length: 2.5 Inches, Gift wrapping available 
 
 
 See details 
 
 
 
 
 Gift wrapping by DesertRoseDesigns10 
 We will wrap your gift in seasonal wrapping paper with a fun ornament!
Birthday wrapping also available! Just leave us a note on comments :)]"
"[Homepage, Jewelry, Earrings, Clip-On Earrings]","These fun and stylish large crystal rhinestone earrings are a great statement piece! Pageant, prom, or fitness competition!
Size of earrings: 1"" Wide and 3"" Long.
Color: royal blue
Base metal color: gold
Style: clip on / now also available in pierced!
More colors available upon request, just message us!
Looking for a matching bracelet?
https://www.etsy.com/listing/676903230/royal-blue-bracelet-cobalt-bracelet-blue?click_key=ad2bb4133896609503753493261d2aac299271f5%3A676903230&click_sum=18505280&ga_search_query=blue&ref=shop_items_search_15
https://www.etsy.com/listing/594523565/blue-rhinestone-bracelet-royal-blue?ref=shop_home_active_1
Looking for the perfect pair of earrings for a special occasion. We specialize in custom work in fashion jewelry, pearls, and natural stones! Please feel free to browse through our other listings, and if you can't find what you are looking for just send us a message and will create the perfect piece for you.
jewelry.desertrosedesigns.net
Expedited shipping available, just contact us!","blue clip on earrings, long blue rhinestone pageant earrings, royal blue fitness competition earrings, cobalt clip on earrings","[Made by   DesertRoseDesigns10, Location: Earlobe, Closure: Clip-on, Length: 3 Inches; Width: 1 Inches, Gift wrapping available 
 
 
 See details 
 
 
 
 
 Gift wrapping by DesertRoseDesigns10 
 We will wrap your gift in seasonal wrapping paper with a fun ornament!
Birthday wrapping also available! Just leave us a note on comments :)]"
"[Homepage, Jewelry, Rings, Statement Rings]","Matching crystal rhinestone ring
Stretch band",Reserved listing- Custom order- crystal ring,"[Made to Order, Gift wrapping available 
 
 
 See details 
 
 
 
 
 Gift wrapping by DesertRoseDesigns10 
 We will wrap your gift in seasonal wrapping paper with a fun ornament!
Birthday wrapping also available! Just leave us a note on comments :)]"
"[Homepage, Jewelry, Earrings, Chandelier Earrings]","These fun and stylish rhinestone long earrings with large crystals are a great statement piece! Pageant, prom, or bridal! 
Size of earrings: 1.3"" Wide  and 3.5"" Long. 
Color:  Gold
Also available in emerald green:
https://www.etsy.com/your/shops/DesertRoseDesigns10/tools/listings/stats:true/508698016
Looking for the perfect pair of earrings for a special occasion. We specialize in custom work in fashion jewelry, pearls, and natural stones! Please feel free to browse through our other listings, and if you can't find what you are looking for just send us a message and will create the perfect piece for you.
www.desertrosedesings.net
Expedited shipping available, just contact us!","large gold crystal earrings, long gold rhinestone prom earrings, long gold rhinestone pageant earrings","[Made by   DesertRoseDesigns10, Gift wrapping available 
 
 
 See details 
 
 
 
 
 Gift wrapping by DesertRoseDesigns10 
 We will wrap your gift in seasonal wrapping paper with a fun ornament!
Birthday wrapping also available! Just leave us a note on comments :)]"
"[Homepage, Jewelry, Earrings, Stud Earrings]","These fun and stylish crystal rhinestone earrings are a great statement piece! Pageant, prom, or bridal! 
Size of earrings: .75” Wide  and .75” Long. 
Colors Available: Red and ab 
Base Metal Color: gold
more colors available upon request!
Need a matching ring?
https://etsy.me/3tweRnK
https://etsy.me/3ra57BD
Or matching bracelet?
https://etsy.me/3H5DZrW
https://etsy.me/2QvM8lh
Looking for the perfect pair of earrings for a special occasion. We specialize in custom work in fashion jewelry, pearls, and natural stones! Please feel free to browse through our other listings, and if you can’t find what you are looking for just send us a message and will create the perfect piece for you.
jewelry.desertrosedesigns.net
Expedited shipping available, just contact us!","Red stud earrings, red ab studs, red crystal prom earrings, red pageant studs, red dance competition large studs","[Location: Earlobe, Closure: Push back, Gift wrapping available 
 
 
 See details 
 
 
 
 
 Gift wrapping by DesertRoseDesigns10 
 We will wrap your gift in seasonal wrapping paper with a fun ornament!
Birthday wrapping also available! Just leave us a note on comments :)]"
"[Homepage, Jewelry, Earrings, Hoop Earrings]","These fun and stylish black diamond crystal rhinestone hoop earrings are a great statement piece! Pageant, prom, or fitness competition! 
Size of earrings: 2.5” Long. 
Color: crystal gray/gunmetal rhinestones 
Base metal: silver 
More colors available upon request, just message us!
Looking for a matching bracelet?
https://www.etsy.com/listing/601440347/silver-rhinestone-bracelet-silver?ref=shop_home_active_27
https://etsy.me/2PSQdMZ
Looking for the perfect pair of earrings for a special occasion. We specialize in custom work in fashion jewelry, pearls, and natural stones! Please feel free to browse through our other listings, and if you can’t find what you are looking for just send us a message and will create the perfect piece for you.
jewelry.desertrosedesigns.net
Expedited shipping available, just contact us!","Gray rhinestone hoops, grey mirror hoops, black diamond hoop earrings","[Location: Earlobe, Gift wrapping available 
 
 
 See details 
 
 
 
 
 Gift wrapping by DesertRoseDesigns10 
 We will wrap your gift in seasonal wrapping paper with a fun ornament!
Birthday wrapping also available! Just leave us a note on comments :)]"
"[Homepage, Jewelry, Earrings, Chandelier Earrings]",Green chandelier earrings,Reserved listing- green earrings,"[Made to Order, Gift wrapping available 
 
 
 See details 
 
 
 
 
 Gift wrapping by DesertRoseDesigns10 
 We will wrap your gift in seasonal wrapping paper with a fun ornament!
Birthday wrapping also available! Just leave us a note on comments :)]"
"[Homepage, Jewelry, Bracelets, Beaded Bracelets]","Beautiful bracelet with rhinestone crystals, great statement piece! Pageant, prom, or bridal! 
Size: .75” wide 
Length: approx. 2.25” in diameter
Style: stretch bracelet
color: clear crystal rhinestones
more colors available upon request!
Looking for matching earrings? Browse through our listings or send us a message! :) 
https://www.etsy.com/listing/550053363/clear-crystal-rhinestone-earrings-large?ref=shop_home_active_94
https://www.etsy.com/listing/576111164/large-bridal-earrings-chunky-rhinestone?ref=related-1
https://www.etsy.com/listing/515931147/large-clear-crystal-clip-on-earrings?ref=listing-shop-header-2
https://www.etsy.com/listing/523954553/large-crystal-clear-rhinestone-earrings?ref=related-1
https://www.etsy.com/listing/551693998/extra-large-rhinestone-earrings-clear?ref=shop_home_active_12
https://www.etsy.com/listing/491507100/clear-rhinestone-dangle-earrings-drop?ref=shop_home_active_57
Looking for the perfect pair of earrings for a special occasion. We specialize in custom work in fashion jewelry, pearls, and natural stones! Please feel free to browse through our other listings, and if you can’t find what you are looking for just send us a message and will create the perfect piece for you.
jewelry.desertrosedesings.net
Expedited shipping available, just contact us!","Crystal rhinestone bracelet, wedding crystal bracelet","[Made by   DesertRoseDesigns10, Gift wrapping available 
 
 
 See details 
 
 
 
 
 Gift wrapping by DesertRoseDesigns10 
 We will wrap your gift in seasonal wrapping paper with a fun ornament!
Birthday wrapping also available! Just leave us a note on comments :)]"
"[Homepage, Jewelry, Earrings, Stud Earrings]","Great pearl and rhinestone long earrings! Clear crystal rhinestones and pearls are a great accent piece! Pageant, prom, or bridal! 
Size of earrings: 1 inch long by .60 inch wide
Color: pink rhinestone crystals and pearls
Base color: silver and gold available just select preference under “secondary color” tab
Style Setting: pierced
Looking for a matching bracelet?
https://www.etsy.com/listing/593908716/crystal-and-pearl-bracelet-bridal?ref=shop_home_active_50
https://www.etsy.com/listing/600792630/clear-rhinestone-bracelet-rhinestone?ref=shop_home_active_44
https://www.etsy.com/listing/614324780/pearl-and-rhinestone-bracelet-bridal?ref=shop_home_active_1
https://www.etsy.com/listing/627746077/crystal-rhinestone-bracelet-large?ref=shop_home_active_2
Looking for the perfect pair of earrings for a special occasion. We specialize in custom work in fashion jewelry, pearls, and natural stones! Please feel free to browse through our other listings, and if you can’t find what you are looking for just send us a message and will create the perfect piece for you.
jewelry.desertrosedesigns.net","Pink and pearl dangle earrings, pink pearl bridesmaid earrings","[Location: Earlobe, Gift wrapping available 
 
 
 See details 
 
 
 
 
 Gift wrapping by DesertRoseDesigns10 
 We will wrap your gift in seasonal wrapping paper with a fun ornament!
Birthday wrapping also available! Just leave us a note on comments :)]"
"[Homepage, Jewelry, Earrings, Chandelier Earrings]","Purple lavender earrings
These fun and stylish light purple crystal rhinestone earrings are a great statement piece! Pageant, prom, or bridal!
Size of earrings: 2” Wide and 4” Long.
Color: light Purple/ lavender
More colors available! Just Message us!
Style: Pierced and Clip on available
Just select preference under the “style” tab
Need a matching bracelet? :)
https://www.etsy.com/listing/771809664/lavender-purple-bracelet-light-purple?ref=shop_home_active_1&frs=1
Looking for the perfect pair of earrings for a special occasion. We specialize in custom work in fashion jewelry, pearls, and natural stones! Please feel free to browse through our other listings, and if you can’t find what you are looking for just send us a message and will create the perfect piece for you.
jewelry.desertrosedesigns.net
Expedited shipping available, just contact us!","Oversized purple earrings, Guevara lavender earrings, light purple pageant earrings","[Made by   DesertRoseDesigns10, Location: Earlobe, Length: 4 Inches, Gift wrapping available 
 
 
 See details 
 
 
 
 
 Gift wrapping by DesertRoseDesigns10 
 We will wrap your gift in seasonal wrapping paper with a fun ornament!
Birthday wrapping also available! Just leave us a note on comments :)]"
"[Homepage, Jewelry, Earrings, Clip-On Earrings]","These fun and stylish aqua blue rhinestone earrings with ombre aqua crystals are a great statement piece! Pageant, prom, or bridal! 
Size of earrings: 1 inches wide, 1 long
colors available: aqua, blue, and ab rhinestones
Style: Clip on setting and pierced setting available!
more colors available upon request, just message us! 
Base metal color: gold
looking for a matching bracelet to complete your look? check out this matching bracelet! :)
https://www.etsy.com/listing/697025105/aqua-prom-bracelet-aqua-blue-crystal?ref=shop_home_active_43
https://www.etsy.com/listing/676017392/aqua-bracelet-aquamarine-rhinestone?ref=shop_home_active_35
https://www.etsy.com/listing/688057084
Looking for the perfect pair of earrings for a special occasion. We specialize in custom work in fashion jewelry, pearls, and natural stones! Please feel free to browse through our other listings, and if you can’t find what you are looking for just send us a message and will create the perfect piece for you.
jewelry.desertrosedesings.net","Blue ombre earrings, blue rhinestone clip on earrings, blue ab prom clip on earrings, blue and aqua earrings","[Made by   DesertRoseDesigns10, Closure: Clip-on, Gift wrapping available 
 
 
 See details 
 
 
 
 
 Gift wrapping by DesertRoseDesigns10 
 We will wrap your gift in seasonal wrapping paper with a fun ornament!
Birthday wrapping also available! Just leave us a note on comments :)]"
"[Homepage, Jewelry, Earrings, Dangle & Drop Earrings]","These fun and stylish light rose rhinestone earrings are a great accent piece! Pageant, prom, or bridal!
Size of earrings: .75” Wide and 1.5” Long.
colors available: light pink rhinestones 
base metal color: gold
more colors available! please feel free to browse through our listings or message us!
looking for a bracelet to complete your look? check out this matching bracelet!
https://etsy.me/3l1mG0y
 
https://etsy.me/3jgulrs
 
https://www.etsy.com/listing/690752461/pink-bracelet-rose-pink-bracelet-rose?ref=shop_home_active_114&frs=1
Looking for the perfect pair of earrings for a special occasion. We specialize in custom work in fashion jewelry, pearls, and natural stones! Please feel free to browse through our other listings, and if you can’t find what you are looking for just send us a message and will create the perfect piece for you.","Light pink dangle earrings, rose pink rhinestone earrings, pink prom earrings, light rose dance earrings","[Made by   DesertRoseDesigns10, Location: Earlobe, Drop length: 1.5 Inches; Length: 1.5 Inches, Gift wrapping available 
 
 
 See details 
 
 
 
 
 Gift wrapping by DesertRoseDesigns10 
 We will wrap your gift in seasonal wrapping paper with a fun ornament!
Birthday wrapping also available! Just leave us a note on comments :)]"
"[Homepage, Jewelry, Bracelets, Beaded Bracelets]","Beautiful bridal bracelet with rhinestone crystals, great statement piece! Pageant, prom, or bridal!
Size: 1” wide
Style: stretch bracelet
color: clear crystal rhinestones
Setting color: silver and gold available! 
Just select preference under the “secondary color” tab 
Shop the look! Necklace set pictured:
https://www.etsy.com/listing/586008491/bridal-rhinestone-necklace-set-clear?ref=shop_home_active_13&frs=1
Bridal Tiara pictured:
https://www.etsy.com/listing/675483898/rhinestone-tiara-bridal-crystal-tiara?ref=shop_home_active_1&frs=1
Looking for matching earrings? Browse through our listings or send us a message! :)
https://www.etsy.com/listing/744988425/bridal-rhinestone-earrings-crystal?ref=shop_home_active_11&frs=1
https://www.etsy.com/listing/491507100/clear-rhinestone-dangle-earrings-drop?ref=shop_home_active_19&frs=1
https://www.etsy.com/listing/491507100/clear-rhinestone-dangle-earrings-drop?ref=shop_home_active_58
Looking for the perfect pair of earrings for a special occasion. We specialize in custom work in fashion jewelry, pearls, and natural stones! Please feel free to browse through our other listings, and if you can’t find what you are looking for just send us a message and will create the perfect piece for you.
jewelry.desertrosedesings.net
Expedited shipping available, just contact us!","Bridal crystal bracelet, rhinestone crystal bracelet","[Made by   DesertRoseDesigns10, Gift wrapping available 
 
 
 See details 
 
 
 
 
 Gift wrapping by DesertRoseDesigns10 
 We will wrap your gift in seasonal wrapping paper with a fun ornament!
Birthday wrapping also available! Just leave us a note on comments :)]"
"[Homepage, Jewelry, Bracelets, Beaded Bracelets]","Beautiful bracelet with rhinestone crystals, great statement piece! Pageant, prom, or bridal! 
Size: 1.5” wide 
Length: approx. 7 inches 
Style: stretch bracelet
color: clear crystal rhinestones
more colors available upon request!
Matching necklace and earrings set:
https://etsy.me/3fQqNw1
Looking for matching earrings? Browse through our listings or send us a message! :) 
https://www.etsy.com/listing/550053363/clear-crystal-rhinestone-earrings-large?ref=shop_home_active_94
https://www.etsy.com/listing/576111164/large-bridal-earrings-chunky-rhinestone?ref=related-1
https://www.etsy.com/listing/515931147/large-clear-crystal-clip-on-earrings?ref=listing-shop-header-2
https://www.etsy.com/listing/523954553/large-crystal-clear-rhinestone-earrings?ref=related-1
https://www.etsy.com/listing/551693998/extra-large-rhinestone-earrings-clear?ref=shop_home_active_12
https://www.etsy.com/listing/491507100/clear-rhinestone-dangle-earrings-drop?ref=shop_home_active_57
Looking for the perfect pair of earrings for a special occasion. We specialize in custom work in fashion jewelry, pearls, and natural stones! Please feel free to browse through our other listings, and if you can’t find what you are looking for just send us a message and will create the perfect piece for you.
jewelry.desertrosedesings.net
Expedited shipping available, just contact us!","Crystal rhinestone bracelet, large crystal stretch bracelet, crystal wedding bracelet","[Made by   DesertRoseDesigns10, Gift wrapping available 
 
 
 See details 
 
 
 
 
 Gift wrapping by DesertRoseDesigns10 
 We will wrap your gift in seasonal wrapping paper with a fun ornament!
Birthday wrapping also available! Just leave us a note on comments :)]"
"[Homepage, Jewelry, Bracelets, Beaded Bracelets]","Beautiful bracelet with large teal crystals, great statement piece! Pageant, prom, or bridal! 
Size: 2.5 height 
Style: stretch bracelet
color: teal rhinestones
Looking for matching earrings? Browse through our listings or send us a message! :) 
https://etsy.me/3du9kZf
https://www.etsy.com/listing/628049928/teal-dangle-rhinestone-earrings-teal?ref=shop_home_active_37
Looking for the perfect pair of earrings for a special occasion. We specialize in custom work in fashion jewelry, pearls, and natural stones! Please feel free to browse through our other listings, and if you can’t find what you are looking for just send us a message and will create the perfect piece for you.
jewelry.desertrosedesings.net
Expedited shipping available, just contact us!","Oversized teal blue bracelet, extra large blue zircon bracelet, statement blue bracelet, teal pageant bracelet","[Made by   DesertRoseDesigns10, Gift wrapping available 
 
 
 See details 
 
 
 
 
 Gift wrapping by DesertRoseDesigns10 
 We will wrap your gift in seasonal wrapping paper with a fun ornament!
Birthday wrapping also available! Just leave us a note on comments :)]"
